Country,Income Classification,Severe Wasting,Wasting,Overweight,Stunting,Underweight,U5 Population ('000s),name
MONGOLIA,1,0.9625,2.444444444,9.925,20.77777778,5.911111111,290.8246667,Mongolia
MONTENEGRO,2,1.7,3.5,19,8.65,1.6,39.3245,Montenegro
MOROCCO,1,1.95,4.483333333,10.86666667,23.85,6.916666667,3310.867167,Morocco
MOZAMBIQUE,0,2.566666667,6.8,6.566666667,47.84285714,20.75714286,3619.840286,Mozambique
MYANMAR,1,2.5,9.771428571,4.62,45.1,29.75555556,5089.456556,Myanmar
NAMIBIA,2,2.75,8.575,4.125,29.2,18.05,273.5885,Namibia
NAURU,2,0.2,1,2.8,24,4.8,1,Nauru
NEPAL,0,2.528571429,10.325,1.028571429,51.9125,36.95,3226.073625,Nepal
NICARAGUA,1,0.75,2.033333333,6.55,24.06666667,7.033333333,671.9388333,Nicaragua
NIGER (THE),0,4.33,15.93636364,1.52,46,38.26363636,3137.215818,Niger (The)
NIGERIA,1,4.38,12.04545455,4.890909091,39.46363636,26.68181818,26759.82036,Nigeria
NORTH MACEDONIA,2,0.633333333,2.3,12.73333333,8.066666667,1.666666667,125.1286667,North Macedonia
OMAN,3,1.68,7.783333333,3.55,16.06666667,11.91666667,332.156,Oman
PAKISTAN,1,4.5,14.31428571,4.757142857,46.67142857,33.7375,21774.89788,Pakistan
PANAMA,3,0.333333333,1.366666667,9.066666667,19.83333333,4.733333333,346.0026667,Panama
PAPUA NEW GUINEA,1,2.8,8,6.733333333,46.46666667,22.9,869.428,Papua New Guinea
PARAGUAY,2,0.333333333,1.325,9.275,13.025,2.525,679.47625,Paraguay
PERU,2,0.213333333,0.793333333,8.94,21.86,4.32,2922.8424,Peru
PHILIPPINES (THE),1,1.92,7.127272727,3.1,36.27272727,24.14545455,10529.68327,Philippines (The)
POLAND,3,,,,2.75,,1951.373,Poland
QATAR,3,,2.1,10.4,11.6,4.8,50.012,Qatar
REPUBLIC OF KOREA (THE),3,0.15,1.05,6.75,2.5,0.8,2487.097,Republic Of Korea (The)
REPUBLIC OF MOLDOVA (THE),1,1.45,3.85,6.9,8.55,2.7,215.5515,Republic Of Moldova (The)
ROMANIA,2,0.9,3.72,8.08,13.22,3.88,1268.1806,Romania
RWANDA,0,1.425,4.866666667,6.314285714,46.31111111,15.88888889,1423.755333,Rwanda
SAINT LUCIA,2,0.7,3.7,6.3,2.5,2.8,11.07,Saint Lucia
SAMOA,2,1.3,2.6,5.75,5.65,2.45,27.0955,Samoa
SAO TOME AND PRINCIPE,1,2.333333333,7.02,9.55,28.88,11.26,25.896,Sao Tome And Principe
SAUDI ARABIA,3,4.5,7.35,3.65,15.35,9.4,2744.397,Saudi Arabia
SENEGAL,1,1.825,8.271428571,2.115384615,22.73571429,16.3,2036.353071,Senegal
SERBIA,2,1.233333333,3.966666667,16.26666667,6.9,1.733333333,489.8266667,Serbia
SEYCHELLES,3,1.2,3.5,8,7.8,4.3,8.1065,Seychelles
SIERRA LEONE,0,3.075,8.61,6.2375,37.2,20.39,982.5267,Sierra Leone
SINGAPORE,3,0.5,3.6,2.6,4.4,3.3,237.083,Singapore
SOLOMON ISLANDS,1,2.333333333,6.733333333,2.966666667,32.73333333,14.66666667,73.68666667,Solomon Islands
SOMALIA,0,4.35,15.63333333,3.85,32.16666667,26.03333333,2017.326333,Somalia
